Reference,Habitat,Habitat2,Habitat_Type,Species,Species2,Response_Type_Communication-Behavior-Reproduction-Physiology,Song_Frequency_Low_Hz,Song_Frequency_High_Hz,Song_Loudness_low_dB,Song_Loudness_high_dB,Distance_meters_avg,Distance_meters,Independent_Variable_Standardized,Independent_Variable_more,Dependent_Variable,Dependent_Variable_Final,Sample_size_n, Effect size_numerical value,Mean,Standard_deviation,Standard_Error,High_Confidence_Interval,Low_Confidence_Interval (CI),R-square,t-value,Cohens d value_equations,"Effect Size Type - cohens_d
hedges_g
r
log_odds_ratio

or others....",Cohens d value
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-eyed vireo,Vireo,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Attack latency,Abundance,113,0.16,NA,NA,0.11,0.37,-0.06,NA,NA,0.3241763594,Beta coefficient,0.3241763594
"Kight CR, Saha MS, Swaddle JP. 2012. Ecological Applications","Anthropogenic noise gradient in various habitats (cemeteries, campuses, parks, golf courses)",Urban green spaces,Mixed,Eastern Bluebird (Sialia sialis),Bluebird,Communication,1500,4000,NA,NA,20,20 m from nest box,Environmental,Breeding density (Density PC),Frequency,Noise,43,2.41,NA,NA,NA,NA,NA,NA,NA,0.3348029618,χ²,0.3348029618
Önsal et al. 2024,Rural v/s Urban,Urban to rural gradient,Mixed,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Closest approach distance,Noise,Habitat type,Versatility index,Noise,9,1.01,NA,NA,NA,NA,NA,NA,NA,0.3366666667,t,0.3366666667
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Song Frequency/Duration,19000,0.17,NA,NA,NA,NA,NA,NA,NA,0.34,F,0.34
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,0.17,NA,NA,NA,NA,NA,NA,NA,0.3450221205,r,0.3450221205
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,0.17,NA,NA,0.33,0.81,-0.48,NA,NA,0.3450221205,Beta coefficient,0.3450221205
"Gough DC, Mennill DJ, Nol E. 2014. The Wilson Journal of Ornithology 126(2):269-278",Coastal forests,Woodland,Rural,Pacific Wren (Troglodytes pacificus),Wren,Communication,5387.81,NA,NA,NA,102,5-200 m from noise source,Environmental,,% Sequence Similarity (PHD 100),Song Frequency/Duration,58,0.03,6222.91,NA,185.61,NA,NA,0.03,NA,0.3517262291,R²,0.3517262291
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,building,Frequency,Song Frequency/Duration,23,1.72,5.9,6.8,NA,NA,NA,NA,1.72,0.3586447922,t,0.3586447922
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-breasted nuthatch,Nuthatch,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Approach latency,Abundance,113,0.18,NA,NA,0.18,0.53,-0.16,NA,NA,0.3659776557,Beta coefficient,0.3659776557
"Kight CR, Saha MS, Swaddle JP. 2012. Ecological Applications","Anthropogenic noise gradient in various habitats (cemeteries, campuses, parks, golf courses)",Urban green spaces,Mixed,Eastern Bluebird (Sialia sialis),Bluebird,Communication,1500,4000,NA,NA,20,20 m from nest box,Environmental,Breeding density (Density PC),Frequency,Noise,43,3.06,NA,NA,NA,NA,NA,NA,NA,0.3772606279,χ²,0.3772606279
"Kight CR, Saha MS, Swaddle JP. 2012. Ecological Applications","Anthropogenic noise gradient in various habitats (cemeteries, campuses, parks, golf courses)",Urban green spaces,Mixed,Eastern Bluebird (Sialia sialis),Bluebird,Communication,1500,4000,NA,NA,20,20 m from nest box,Environmental,Breeding density (Density PC),Frequency,Noise,43,3.061,NA,NA,NA,NA,NA,NA,NA,0.3773222668,χ²,0.3773222668
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Feeding duration (s/h),Abundance,27,2.124,NA,NA,NA,NA,NA,NA,NA,0.3966526608,χ²,0.3966526608
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),Chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,,Pairing Success,Song Frequency/Duration,24,0.195,NA,NA,0.067,NA,NA,NA,2.904,0.3976332696,Beta coefficient,0.3976332696
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Number of song syllables,Song Frequency/Duration,10,0.04,58,NA,NA,NA,NA,0.04,NA,0.4082482905,R²,0.4082482905
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,Noise,Frequency,Song Frequency/Duration,23,2.08,1.7,0.7,NA,NA,NA,NA,2.08,0.4337099812,t,0.4337099812
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,1 km x 1 km sample plots,Environmental,,Brood growth rate,Song Frequency/Duration,79,1.98,8.9,11.3,NA,NA,NA,NA,1.98,0.4410794607,z-test,0.4410794607
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Reaction,Abundance,27,2.7,NA,NA,NA,NA,NA,NA,NA,0.4472135955,χ²,0.4472135955
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Black-capped chickadee,Chickadee,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Attack latency,Abundance,113,0.22,NA,NA,0.11,0.44,0.01,NA,NA,0.4510508025,Beta coefficient,0.4510508025
"Gough DC, Mennill DJ, Nol E. 2014. The Wilson Journal of Ornithology 126(2):269-278",Coastal forests,Woodland,Rural,Pacific Wren (Troglodytes pacificus),Wren,Communication,5387.81,NA,NA,NA,102,5-200 m from noise source,Environmental,Time of day,Area X Volume,Song Frequency/Duration,58,0.05,159.92,NA,4.56,NA,NA,0.05,NA,0.4588314677,R²,0.4588314677
"Kight CR, Saha MS, Swaddle JP. 2012. Ecological Applications","Anthropogenic noise gradient in various habitats (cemeteries, campuses, parks, golf courses)",Urban green spaces,Mixed,Eastern Bluebird (Sialia sialis),Bluebird,Communication,1500,4000,NA,NA,20,20 m from nest box,Environmental,Breeding density (Density PC),Frequency,Noise,43,4.54,NA,NA,NA,NA,NA,NA,NA,0.4595245268,χ²,0.4595245268
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-eyed vireo,Vireo,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Attack latency,Abundance,113,0.23,NA,NA,1.14,0.46,0.01,NA,NA,0.4726720402,Beta coefficient,0.4726720402
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,White-throated sparrow,Sparrow,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Occurrence (presence/absence),Abundance,113,0.23,NA,NA,0.14,0.51,-0.05,NA,NA,0.4726720402,Beta coefficient,0.4726720402
"Bermúdez-Cuamatzin, Eira; Ríos-Chelén, Alejandro Ariel; Gil, Diego; Macías Garcia, Constantino. Behaviour 146, 1269-1286 (2009)",Urban environments in Mexico City,Urban city,Urban,House Finch (Carpodacus mexicanus),Finch,Communication,2221,5873,NA,NA,7.5,5-10 m distance between recorder and singing male,Noise,,A-song Bandwidth - Control,Song Frequency/Duration,35,0.23,5873,NA,103.42,NA,NA,0.0529,NA,0.4726720402,r,0.4726720402
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Activity duration (s/h),Abundance,27,3.306,NA,NA,NA,NA,NA,NA,NA,0.4948624949,χ²,0.4948624949
"Damsky J, Gall MD. 2017. The Condor 119:26-34",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,21,21 m (speaker to platform),Noise,"Trial time (before, during, after)",Number of birds approaching speaker,Abundance,27,3.547,NA,NA,NA,NA,NA,NA,NA,0.5125824234,χ²,0.5125824234
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,0.26,NA,NA,0.36,0.97,-0.44,NA,NA,0.5385204639,Beta coefficient,0.5385204639
"Matthew DA, Ivande ST, Ottosson U, Osinubi ST. 2024. Ostrich. DOI: 10.2989/00306525.2024.2310683",Urban to rural gradient,Urban to rural gradient,Mixed,Northern Grey-headed Sparrow (Passer griseus),Sparrow,Communication,1819.15,6236.37,NA,NA,69.9,Up to 69.9 m,Noise,Physical structure (%),Fledging mass,Song Frequency/Duration,75,0.07,6236.37,NA,NA,NA,NA,0.07,5.707,0.5487032612,R²,0.5487032612
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Black-capped chickadee,Chickadee,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Attack latency,Abundance,113,0.27,NA,NA,0.11,0.49,0.06,NA,NA,0.5608290087,Beta coefficient,0.5608290087
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Number of birds approaching speaker,Abundance,27,4.518,NA,NA,NA,NA,NA,NA,NA,0.5785038173,χ²,0.5785038173
"Gough DC, Mennill DJ, Nol E. 2014. The Wilson Journal of Ornithology 126(2):269-278",Coastal forests,Woodland,Rural,Pacific Wren (Troglodytes pacificus),Wren,Communication,5387.81,NA,NA,NA,102,5-200 m from noise source,Environmental,,Frequency,Song Frequency/Duration,52,0.08,6222.91,NA,185.61,NA,NA,0.08,NA,0.5897678246,R²,0.5897678246
Önsal et al. 2022,Rural,Rural,Mixed,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Song rate,Noise,Habitat type,E1: Duration,Environment,21,3.72,39.9,3.6,NA,NA,NA,NA,NA,0.5952190473,χ²,0.5952190473
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,0.29,NA,NA,0.25,0.79,-0.2,NA,NA,0.6060437322,Beta coefficient,0.6060437322
"Gough DC, Mennill DJ, Nol E. 2014. The Wilson Journal of Ornithology 126(2):269-278",Coastal forests,Woodland,Rural,Pacific Wren (Troglodytes pacificus),Wren,Communication,5387.81,NA,NA,NA,102,5-200 m from noise source,Environmental,,Frequency,Song Frequency/Duration,58,0.09,16.01,NA,0.25,NA,NA,0.09,NA,0.628970902,R²,0.628970902
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,Treatment (Pre-stim/Novel object),Abundance/Richness,,24,0.314,NA,NA,0.423,NA,NA,NA,0.741,0.6614543902,Beta coefficient,0.6614543902
"Rios-ChelÃ©n AA, Lee GC, Patricelli GL. 2015. Behav Ecol Sociobiol","Mix of wetlands, grasslands, and cattails",Marsh,Mixed,Red-winged blackbird (Agelaius phoeniceus),blackbird,Communication,1550,6379,NA,NA,NA,"Distance measured with rangefinder, specific values not summarized",Noise,Time of day,Nest success,Song Frequency/Duration,67,0.105,2873 Hz,218,31.87,NA,NA,NA,NA,0.6850355779,R²,0.6850355779
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Heterothermy Index (HI),Abundance,27,6.478,NA,NA,NA,NA,NA,NA,NA,0.6927133981,χ²,0.6927133981
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,,Call Length of call type 2,Noise,17,4.13,NA,NA,NA,NA,NA,NA,NA,0.6970526185,χ²,0.6970526185
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,Treatment (Pre-stim/Novel object),Abundance/Richness,,24,0.33,NA,NA,0.176,NA,NA,NA,1.875,0.6991666649,Beta coefficient,0.6991666649
Önsal et al. 2022,Rural,Rural,Rural,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Song rate,Noise,Habitat type,Frequency,Noise,12,2.44,39.9,3.6,NA,NA,NA,NA,2.44,0.7043673284,t,0.7043673284
"Rios-ChelÃ©n AA, Lee GC, Patricelli GL. 2015. Behav Ecol Sociobiol","Mix of wetlands, grasslands, and cattails",Marsh,Mixed,Red-winged blackbird (Agelaius phoeniceus),blackbird,Communication,1550,6379,NA,NA,NA,"Distance measured with rangefinder, specific values not summarized",Noise,Time of day,Nest success,Song Frequency/Duration,69,0.111,2895 Hz,353,52.68,NA,NA,NA,NA,0.7067089714,R²,0.7067089714
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Note duration (seconds),Song Frequency/Duration,450,0.36,NA,NA,NA,NA,NA,NA,NA,0.72,F,0.72
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,Prey target (conspicuous),Discrimination Ratio,Effect on Bird,12,-1.58,NA,NA,NA,NA,NA,NA,NA,0.720648606,z-value,0.720648606
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Area of parks (PARK),Abundance,113,0.36,NA,NA,0.26,0.86,-0.14,NA,NA,0.7717436331,Beta coefficient,0.7717436331
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-breasted nuthatch,Nuthatch,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Approach latency,Abundance,113,0.36,NA,NA,0.18,0.71,0.01,NA,NA,0.7717436331,Beta coefficient,0.7717436331
Önsal et al. 2025,Rural v/s Urban,Urban to rural gradient,Mixed,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Closest approach distance,Noise,Habitat type,Start time of dawn chorus (minutes relative to sunrise),Environment,12,3.72,NA,NA,NA,NA,NA,NA,NA,0.7874007874,χ²,0.7874007874
"Matthew DA, Ivande ST, Ottosson U, Osinubi ST. 2024. Ostrich. DOI: 10.2989/00306525.2024.2310683",Urban to rural gradient,Urban to rural gradient,Mixed,Northern Grey-headed Sparrow (Passer griseus),Sparrow,Communication,1819.15,6236.37,NA,NA,69.9,Up to 69.9 m,Environmental,Ambient noise level (dB),Fledging mass,Song Frequency/Duration,75,0.14,1819.15,NA,NA,NA,NA,0.14,0.239,0.8069465848,R²,0.8069465848
Önsal et al. 2022,Urban,Urban green spaces,Urban,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Closest approach distance,Noise,Habitat type,Syllable duration,Noise,9,2.44,NA,NA,NA,NA,NA,NA,2.44,0.8133333333,t,0.8133333333
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Frequency,Song Frequency/Duration,450,0.41,NA,NA,NA,NA,NA,NA,NA,0.82,F,0.82
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,0.38,NA,NA,NA,NA,NA,NA,NA,0.8216336251,r,0.8216336251
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,1 km x 1 km sample plots,Environmental,,Cuckoldry rate,Song Frequency/Duration,79,2.71,30.1,18.8,NA,NA,NA,NA,2.71,0.8262758053,z-test,0.8262758053
Önsal et al. 2022,Urban,Urban city,Urban,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Visual display (presence/absence),Noise,Habitat type,Start time of dawn chorus (minutes relative to sunrise),Environment,9,3.22,NA,NA,NA,NA,NA,NA,NA,0.8459051694,χ²,0.8459051694
"Ozkan K, Langley JM, Talbott JW, Kleist NJ, Francis CD. 2024. PeerJ 12:e18558",Remote area with gas well compressors,Woodland,Rural,Western Bluebird (Sialia mexicana),Bluebird,Behavior,NA,NA,NA,NA,125,75-175 m from gas well pads,Noise,,Frequency,Noise,13,0.39,8.79,4.15,NA,0.19,0.60,0.58,NA,0.8470758204,Beta coefficient,0.8470758204
"Muñoz-Santos I, Ríos-Chelén AA. 2022. acta ethologica",Urban park (Chapultepec forest),Urban green spaces,Urban,Vermilion Flycatcher (Pyrocephalus rubinus),Flycatcher,Communication,2923,NA,NA,NA,10,10 m (playback speaker to bird); 5 m (microphone to bird),Noise,Ambient noise coefficient of variation,Nestling quality (scaled mass),Song Frequency/Duration,27,0.39,,NA,NA,NA,NA,NA,NA,0.8470758204,r,0.8470758204
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase ,Post Hoc Tests,Song Frequency/Duration,19000,0.43,NA,NA,NA,NA,NA,NA,NA,0.86,F,0.86
"Wood WE, Yezerinac SM. 2006. The Auk 123(3):650-659",Urban environments,Urban green spaces,Urban,Song Sparrow (Melospiza melodia),Sparrow,Communication,1140,9280,NA,NA,10,â‰¤10 m (microphone to singing perch),Noise,,Abundance/Richness,Song Frequency/Duration,28,0.4,NA,NA,NA,NA,NA,NA,NA,0.8728715609,r,0.8728715609
"Matthew DA, Ivande ST, Ottosson U, Osinubi ST. 2024. Ostrich. DOI: 10.2989/00306525.2024.2310683",Urban to rural gradient,Urban to rural gradient,Mixed,Northern Grey-headed Sparrow (Passer griseus),Sparrow,Communication,1819.15,6236.37,NA,NA,69.9,Up to 69.9 m,Noise,Physical structure (%),Number of fledglings,Song Frequency/Duration,75,0.17,1819.15,NA,NA,NA,NA,0.17,0.459,0.9051392757,R²,0.9051392757
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,1 km x 1 km sample plots,Environmental,,Clutch size,Song Frequency/Duration,79,-2.84,1.6,0.6,NA,NA,NA,NA,-2.84,0.9074508974,z-test,0.9074508974
Önsal et al. 2023,Rural v/s Urban,Urban to rural gradient,Mixed,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Closest approach distance,Noise,Habitat type,Redundancy index,Noise,12,3.15,NA,NA,NA,NA,NA,NA,NA,0.909326674,t,0.909326674
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,High Noise,Frequency,Noise,10,0.455,43.896,NA,NA,NA,NA,NA,NA,0.91,Eta-squared (ANOVA),0.91
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,,Frequency,Noise,10,0.455,>0.80,NA,NA,NA,NA,NA,NA,0.91,Eta-squared (ANOVA),0.91
"Bermúdez-Cuamatzin, Eira; Ríos-Chelén, Alejandro Ariel; Gil, Diego; Macías Garcia, Constantino. Behaviour 146, 1269-1286 (2009)",Urban environments in Mexico City,Urban city,Urban,House Finch (Carpodacus mexicanus),Finch,Communication,2221,5873,NA,NA,7.5,5-10 m distance between recorder and singing male,Noise,,A-song Bandwidth - Traffic,Song Frequency/Duration,35,0.42,2221,NA,31.3,NA,NA,0.1764,NA,0.9255952497,r,0.9255952497
"Hamza F, Hanane S, Almalki M, Chokri MA. 2023. Urban Ecosystems 26:185-196",Coastal Mediterranean oasis system,Coast,Rural,Eurasian Collared-Dove,Dove,Behavior,NA,NA,NA,NA,416.5,Mean distance to urban area: 416.5 m,Environmental,Distance to industrial complex,Flight latency,Song Frequency/Duration,264,0.177,416.5,NA,25.3,95%,NA,NA,NA,0.9275059648,R²,0.9275059648
"Matthew DA, Ivande ST, Ottosson U, Osinubi ST. 2024. Ostrich. DOI: 10.2989/00306525.2024.2310683",Urban to rural gradient,Urban to rural gradient,Mixed,Common Bulbul (Pycnonotus barbatus),Bulbul,Communication,1781,3504,NA,NA,69.9,Up to 69.9 m,Environmental,Ambient noise level (dB),Number of hatchlings,Song Frequency/Duration,45,0.18,3504,NA,NA,NA,NA,0.18,0.008,0.9370425713,R²,0.9370425713
Önsal et al. 2022,Urban,Urban city,Mixed,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Song rate,Noise,Habitat type,Dom. Frequency,Environment,21,9.75,49,7.1,NA,NA,NA,NA,NA,0.9636241117,χ²,0.9636241117
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,House Wren (Troglodytes aedon),Wren,Communication,1892,7195,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Song Frequency,Song Frequency/Duration,16,0.19,NA,NA,NA,NA,NA,0.19,NA,0.9686442097,R²,0.9686442097
"Rios-ChelÃ©n AA, Lee GC, Patricelli GL. 2015. Behav Ecol Sociobiol","Mix of wetlands, grasslands, and cattails",Marsh,Mixed,Red-winged blackbird (Agelaius phoeniceus),blackbird,Communication,1550,6379,NA,NA,NA,"Distance measured with rangefinder, specific values not summarized",Noise,,Abundance/Richness,Song Frequency/Duration,69,0.195,7,1.52,0.032,NA,NA,NA,NA,0.9843495819,R²,0.9843495819
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,,Frequency,Noise,10,0.496,22.985,8.34,NA,NA,NA,NA,NA,0.992,Eta-squared (ANOVA),0.992
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,,Frequency,Noise,10,0.496,>0.80,NA,NA,NA,NA,NA,NA,0.992,Eta-squared (ANOVA),0.992
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Northern Cardinal (Cardinalis cardinalis),Cardinal,Communication,1450,4666,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Onset of dawn song (minutes before sunrise),Song Frequency/Duration,45,0.2,NA,NA,NA,NA,NA,0.2,NA,1,R²,1
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192951",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,,Call Length of call type 1,Noise,17,8.52,NA,NA,NA,NA,NA,NA,NA,1.001175779,χ²,1.001175779
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-breasted nuthatch,Nuthatch,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Attack latency,Abundance,113,0.45,NA,NA,0.18,0.8,0.11,NA,NA,1.00780652,Beta coefficient,1.00780652
da Luz Mathias et al. 2021. Urban Ecosystems,Urban,Urban city,Urban,Greater white-toothed shrew (Crocidura russula),,Behavior,NA,NA,NA,NA,NA,Experimental arena (50x50x30 cm),Noise,Habitat (urban vs. rural),Territory Density,Effect on Bird,32,16.71,NA,NA,NA,NA,NA,NA,NA,1.021824349,χ²,1.021824349
"Matthew DA, Ivande ST, Ottosson U, Osinubi ST. 2024. Ostrich. DOI: 10.2989/00306525.2024.2310683",Urban to rural gradient,Urban to rural gradient,Mixed,Common Bulbul (Pycnonotus barbatus),Bulbul,Communication,1781,3504,NA,NA,69.9,Up to 69.9 m,Noise,Physical structure (%),Clutch size,Song Frequency/Duration,45,0.22,3504,NA,NA,NA,NA,0.22,0.042,1.062170009,R²,1.062170009
